reactants,products,set
CCOC(=O)/C=C/c1c(Nc2c(F)cccc2F)nc(SC)nc1-c1ccc(F)cc1C,CSc1nc(-c2ccc(F)cc2C)c2ccc(=O)n(-c3c(F)cccc3F)c2n1,train
COC(=O)c1ccc(CN2CCOCC2)c(O)c1.CS(=O)(=O)Cl,COC(=O)c1ccc(CN2CCOCC2)c(OS(C)(=O)=O)c1,train
COC(=O)c1cc(Br)cc(C(=O)OC)c1.OB(O)c1cccc(Cl)c1,COC(=O)c1cc(C(=O)OC)cc(-c2cccc(Cl)c2)c1,train
COC(=O)c1ccc(Br)cc1.Nc1ccccc1,COC(=O)c1ccc(Nc2ccccc2)cc1,train
C1CCOC1.CCCCN(CCCC)c1ccc(C=O)cc1.[Li]c1ccccc1,CCCCN(CCCC)c1ccc(C=Cc2ccc(CO)cc2)cc1,train
CCOC(=O)c1cc2cc(C(CC)(CC)c3ccc(OCC(=O)C(C)(C)C)c(C)c3)cc(C)c2o1.OCCO,CCOC(=O)c1cc2cc(C(CC)(CC)c3ccc(OCC4(C(C)(C)C)OCCO4)c(C)c3)cc(C)c2o1,train
COC(=O)c1ccc(-c2c(NC(=O)Cc3cccs3)ccc3c2/C(=C/c2[nH]ccc2OC)C(=O)N3)cc1,COc1cc[nH]c1/C=C1\C(=O)Nc2ccc(NC(=O)Cc3cccs3)c(-c3ccc(C(=O)O)cc3)c21,train
COC(=O)c1sc(-n2cnc3cnccc32)cc1OC(C)c1ccccc1Cl.N,CC(Oc1cc(-n2cnc3cnccc32)sc1C(N)=O)c1ccccc1Cl,train
O=C(Nc1cnc(Br)c(-c2cccnc2)n1)C1CC1.O=C(OO)c1cccc(Cl)c1,O=C(Nc1cnc(Br)c(-c2ccc[n+]([O-])c2)n1)C1CC1,train
CCOC(=O)c1c(C)[nH]c(C=O)c1CCC(=O)O.O=C1Cc2c(cccc2C2CCNCC2)N1,CCOC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3cccc(C4CCNCC4)c32)c1CCC(=O)O,train
CCOc1ccc2ccccc2c1-c1c[nH]c(NC(C)=O)n1,CCOc1ccc2ccccc2c1-c1c[nH]c(N)n1,train
CC(=O)N1CCNCC1.Cc1cc(F)ccc1[N+](=O)[O-],CC(=O)N1CCN(c2ccc([N+](=O)[O-])c(C)c2)CC1,train
CCOC(=O)C1CCN(C(=O)OC(C)(C)C)CCCC1=O,CC(C)(C)OC(=O)N1CCCC(=O)CCC1,train
C=[N+]=[N-].O=C(O)c1cc(F)c(F)cc1Br,COC(=O)c1cc(F)c(F)cc1Br,train
CCOC(=O)COc1ccc(F)c(NCc2c(F)ccc(-c3cccc(F)c3)c2F)c1F,O=C(O)COc1ccc(F)c(NCc2c(F)ccc(-c3cccc(F)c3)c2F)c1F,train
COC(=O)C(Cl)SCCc1ccccc1Br,COC(=O)C1SCCc2c(Br)cccc21,train
CC(C)(C)SCc1cc(NC(=O)C(C)(C)C)ccc1CBr.N#CCc1cn[nH]c1,CC(C)(C)SCc1cc(NC(=O)C(C)(C)C)ccc1Cn1cc(CC#N)cn1,train
C1CCN(C2CCNCC2)C1.Cc1nn(-c2cccc(Cl)c2)c(C)c1C(=O)O,Cc1nn(-c2cccc(Cl)c2)c(C)c1C(=O)N1CCC(N2CCCC2)CC1,train
CC(=O)OC(C)=O.COc1cccc2c1NC(CN)CO2,COc1cccc2c1NC(CNC(C)=O)CO2,train
C1=CCNC1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,CC(C)(C)OC(=O)N1CC=CC1,train
CC(C)N1CCC(Oc2ccc(C3CCNCC3)cc2)CC1.O=C(O)c1ccc(F)cc1,CC(C)N1CCC(Oc2ccc(C3CCN(C(=O)c4ccc(F)cc4)CC3)cc2)CC1,train
CN(c1cc(N2CCc3cc(S(C)(=O)=O)ccc32)ncn1)C1CCN(Cc2ccccc2)CC1,CN(c1cc(N2CCc3cc(S(C)(=O)=O)ccc32)ncn1)C1CCNCC1,train
CC1(C)OB(c2ccc(S(=O)(=O)N3CCC4(CC3)CN(C3CC3)C(=O)CO4)cc2)OC1(C)C.CN(C(N)=O)c1n[nH]c2cc(Br)ccc12,CN(C(N)=O)c1n[nH]c2cc(-c3ccc(S(=O)(=O)N4CCC5(CC4)CN(C4CC4)C(=O)CO5)cc3)ccc12,train
CC(C)(C)OC(=O)Nc1ccc(F)c([C@@]2(C)NC(=S)[C@@](C)(F)CC2(F)F)c1,C[C@]1(F)CC(F)(F)[C@@](C)(c2cc(N)ccc2F)NC1=S,train
CC(C)(C)OC(=O)CC(=O)c1cccc(-n2nncc2COC2CCCCO2)c1.CN(c1cc(NC(=O)OC(C)(C)C)c(N)cc1Cl)C1CC1,CN(c1cc(NC(=O)OC(C)(C)C)c(NC(=O)CC(=O)c2cccc(-n3nncc3COC3CCCCO3)c2)cc1Cl)C1CC1,train
CC(=O)N1[C@H](CC23CC4CC(CC(C4)C2)C3)C(=O)N(Cc2ccccc2)c2ccccc2C(=O)C[C@H]1C(=O)[O-].NCC(=O)OCc1ccccc1,CC(=O)N1[C@H](CC23CC4CC(CC(C4)C2)C3)C(=O)N(Cc2ccccc2)c2ccccc2C(=O)C[C@H]1C(=O)NCC(=O)OCc1ccccc1,train
COc1ccccc1-n1c(=O)c2cnc(SC)nc2n1C.O=C([O-])O,COc1ccccc1-n1c(=O)c2cnc(S(C)=O)nc2n1C,train
Cc1cc(OC2CCCCO2)cc2c1C(CC(=O)OC(C)(C)C)OB2O,Cc1cc(O)cc2c1C(CC(=O)OC(C)(C)C)OB2O,train
O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(OCc3ccccc3)cc2)N1c1ccc(F)cc1,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,train
N#CCCC1CCCc2cc(S(=O)(=O)c3ccccc3)ccc21,NCCCC1CCCc2cc(S(=O)(=O)c3ccccc3)ccc21,train
C/C=C/c1cc(C(=O)OC(C)(C)C)c(F)cc1OCC12CC3CC(CC(C3)C1)C2,C/C=C/c1cc(C(=O)O)c(F)cc1OCC12CC3CC(CC(C3)C1)C2,train
C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1.Cc1ccc(Br)c(C)c1,Cc1ccc(N2CCN(C(=O)OC(C)(C)C)C[C@H]2C)c(C)c1,train
C[Si](C)(C)C#Cc1cc(Cl)ccc1F,C#Cc1cc(Cl)ccc1F,train
NCC(O)(CNC(=O)c1cnn(-c2ccc(F)cc2)c1N)C(F)(F)F.O=C(Cl)c1c(Cl)cccc1Cl,Nc1c(C(=O)NCC(O)(CNC(=O)c2c(Cl)cccc2Cl)C(F)(F)F)cnn1-c1ccc(F)cc1,train
CCN(CC)c1c([N+](=O)[O-])cc(C)c(Cl)c1[N+](=O)[O-].N,CCN(CC)c1c([N+](=O)[O-])cc(C)c(N)c1[N+](=O)[O-],train
CN(Cc1cc(C=O)ccc1Oc1ccc(Cl)c(Cl)c1)C(=O)OC(C)(C)C,CN(Cc1cc(CO)ccc1Oc1ccc(Cl)c(Cl)c1)C(=O)OC(C)(C)C,train
CC(=O)NC(C)CCc1ccc(Oc2ccc(O)cn2)cc1.CC(C)I,CC(=O)NC(C)CCc1ccc(Oc2ccc(OC(C)C)cn2)cc1,train
CC1CCCN1CCc1nc2ccc(Br)cc2s1.OB(O)c1cccnc1,CC1CCCN1CCc1nc2ccc(-c3cccnc3)cc2s1,train
COC(=O)Cl.Nc1ccc(-c2ccccc2C(F)(F)F)cc1,COC(=O)Nc1ccc(-c2ccccc2C(F)(F)F)cc1,train
COc1cc(N)cc(OCCN2CCCC2=O)c1.O=C(O)Cn1cnc2cccc([N+](=O)[O-])c21,COc1cc(NC(=O)Cn2cnc3cccc([N+](=O)[O-])c32)cc(OCCN2CCCC2=O)c1,train
CN(C)C=O.COC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3cccc(OS(=O)(=O)C(F)(F)F)c3C2)CN1C(=O)OC(C)(C)C,C=Cc1cccc2c1CN(C(=O)O[C@@H]1C[C@@H](C(=O)OC)N(C(=O)OC(C)(C)C)C1)CC2,train
CC(C)(C)OC(=O)N1CCNCC1.O=[N+]([O-])c1cnccc1Cl,CC(C)(C)OC(=O)N1CCN(c2ccncc2[N+](=O)[O-])CC1,train
CNC.Cc1cc(Nc2nccc(C(F)(F)F)n2)cc(-c2ccc(CC(=O)O)nc2)c1,Cc1cc(Nc2nccc(C(F)(F)F)n2)cc(-c2ccc(CC(=O)N(C)C)nc2)c1,train
CC(C)(C)OC(=O)N1CCC(=O)CC1.O=C1CNCCN1,CC(C)(C)OC(=O)N1CCC(N2CCNC(=O)C2)CC1,train
CCOc1ccc(OCC(=O)OC(C)(C)C)c2c1C(=O)N(CSc1nnnn1-c1ccccc1)S2(=O)=O,CCOc1ccc(OCC(=O)O)c2c1C(=O)N(CSc1nnnn1-c1ccccc1)S2(=O)=O,train
CN(C)CCc1nnc(CO)n1-c1ccccc1C(=O)c1ccccc1Cl.O=C1NC(=O)c2ccccc21,CN(C)CCc1nnc(CN2C(=O)c3ccccc3C2=O)n1-c1ccccc1C(=O)c1ccccc1Cl,train
O=C/C=C/c1ccc(-n2cccn2)nc1,OC/C=C/c1ccc(-n2cccn2)nc1,train
CC(COS(C)(=O)=O)N1c2ccccc2Sc2ccc(C#N)cc21.CC1CCCN1,CC1CCCN1CC(C)N1c2ccccc2Sc2ccc(C#N)cc21,train
CC(C)N.CCOC(=O)c1nn(-c2ccccc2Cl)c(Br)c1C=O,CCOC(=O)c1nn(-c2ccccc2Cl)c(Br)c1CNC(C)C,train
NNc1cnc2ccc(Br)cc2n1.O=C(O)C1CC1,O=C(NNc1cnc2ccc(Br)cc2n1)C1CC1,train
COC(=O)c1cc(O)cc(OCCCNC(=O)OC(C)(C)C)c1,CC(C)(C)OC(=O)NCCCOc1cc(O)cc(C(=O)O)c1,train
CN1c2cc(B3OC(C)(C)C(C)(C)O3)ccc2N(CC2CC2)S1(=O)=O.N#Cc1c(F)cccc1Br,CN1c2cc(-c3cccc(F)c3C#N)ccc2N(CC2CC2)S1(=O)=O,train
CCCC(=O)O.Nc1ccc(C=CCN2CCC(=C3c4ccccc4C=Cc4ccccc43)CC2)cc1,CCCC(=O)Nc1ccc(C=CCN2CCC(=C3c4ccccc4C=Cc4ccccc43)CC2)cc1,train
COc1cc(F)ccc1C(=O)O.NC1COCCn2c1nc(-c1ccncc1)cc2=O,COc1cc(F)ccc1C(=O)NC1COCCn2c1nc(-c1ccncc1)cc2=O,train
CCN1C(=O)CCCc2c1ccc(N)c2OC.Clc1ncc(Cl)c(Nc2ccccc2-n2cccn2)n1,CCN1C(=O)CCCc2c1ccc(Nc1ncc(Cl)c(Nc3ccccc3-n3cccn3)n1)c2OC,train
C1CNC1.Cc1ccc(-c2noc(Cl)n2)cc1[N+](=O)[O-],Cc1ccc(-c2noc(N3CCC3)n2)cc1[N+](=O)[O-],train
CC(C)(C)OC(=O)CC1CCn2c1cc1cc(OCc3cc(C#N)cc(OC(F)(F)F)c3)ccc12,N#Cc1cc(COc2ccc3c(c2)cc2n3CCC2CC(=O)O)cc(OC(F)(F)F)c1,train
N#CCCCN1CCC(Cc2nc3ccccc3n2Cc2ccco2)CC1,NCCCCN1CCC(Cc2nc3ccccc3n2Cc2ccco2)CC1,train
CCOC(=O)c1c(O)c2ncc(Cc3ccccc3)cc2n(Cc2ccc(S(C)(=O)=O)cc2)c1=O.NCCN1CCCC1,CS(=O)(=O)c1ccc(Cn2c(=O)c(C(=O)NCCN3CCCC3)c(O)c3ncc(Cc4ccccc4)cc32)cc1,train
COc1nc(Cc2cccc(Br)c2N)nc(OC)n1.O=S(=O)(Cl)C(F)F,COc1nc(Cc2cccc(Br)c2NS(=O)(=O)C(F)F)nc(OC)n1,train
CC(=O)c1cnc2nnn(Cc3ccc4ncccc4c3)c2n1.NN1CCNC1=O,C/C(=N\N1CCNC1=O)c1cnc2nnn(Cc3ccc4ncccc4c3)c2n1,train
COc1ccc2c(c1)C(C)(C)C(=O)CC2.NO,COc1ccc2c(c1)C(C)(C)C(=NO)CC2,train
CCCCOc1nc(N)c2nc(OC)n(CCCC3CCCCN3C(=O)OCc3ccccc3)c2n1,CCCCOc1nc(N)c2nc(OC)n(CCCC3CCCN(C(=O)OCc4ccccc4)C3)c2n1,train
BrCc1ccccc1.OCCOc1cccc(O)c1,OCCOc1cccc(OCc2ccccc2)c1,train
COC(=O)c1cccc([C@@H]2C[C@H]2NC(=O)OC(C)(C)C)c1,CC(C)(C)OC(=O)N[C@@H]1C[C@H]1c1cccc(C(=O)O)c1,train
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.OC1CNCCN(c2cccc(Br)n2)C1,CC(C)(C)OC(=O)N1CCN(c2cccc(Br)n2)CC(O)C1,train
CC(C)N1CCn2c(Cc3cccc(Cl)c3Cl)nc(=O)c(OCc3ccccc3)c2C1=O,CC(C)N1CCn2c(Cc3cccc(Cl)c3Cl)nc(=O)c(O)c2C1=O,train
COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccccc4)cc3)c2cc1C#N,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccccc4)cc3)c2cc1CN,train
Cc1ccc2nc(N3CCS(=O)(=O)c4cc(O)ccc4C3)cc(Cl)c2c1.Ic1ccccc1,Cc1ccc2nc(N3CCS(=O)(=O)c4cc(Oc5ccccc5)ccc4C3)cc(Cl)c2c1,train
COC(=O)C(Cc1ccc(C(F)(F)P(=O)(OC(C)(C)C)OC(C)(C)C)cc1)(Cc1ccc(C(F)(F)P(=O)(OC(C)(C)C)OC(C)(C)C)cc1)C(=O)OCc1ccccc1,COC(=O)C(Cc1ccc(C(F)(F)P(=O)(OC(C)(C)C)OC(C)(C)C)cc1)(Cc1ccc(C(F)(F)P(=O)(OC(C)(C)C)OC(C)(C)C)cc1)C(=O)O,train
CC(C)(C)OC(=O)N1CCN(Cc2cccc(OCc3ccccc3)c2)CC1,CC(C)(C)OC(=O)N1CCN(Cc2cccc(O)c2)CC1,train
NCc1ccc(C(=O)O)cc1.O=C(OC(=O)C(F)(F)F)C(F)(F)F,O=C(O)c1ccc(CNC(=O)C(F)(F)F)cc1,train
COc1ccc(Cn2cc(-c3ccnc(NC(C)(C)C)c3)c(-c3cccc(N)c3)n2)cc1.O=C=Nc1ccc(C(F)(F)F)cc1,COc1ccc(Cn2cc(-c3ccnc(NC(C)(C)C)c3)c(-c3cccc(NC(=O)Nc4ccc(C(F)(F)F)cc4)c3)n2)cc1,train
CC(C)(C)OC(=O)N1CC=C(OS(=O)(=O)C(F)(F)F)CC1.O=[N+]([O-])c1ccc(B(O)O)cc1,CC(C)(C)OC(=O)N1CC=C(c2ccc([N+](=O)[O-])cc2)CC1,train
CCCCc1c(C(=O)Cl)nc(-c2ccccc2Cl)n1-c1ccc(Cl)cc1.NN1CCCCC1,CCCCc1c(C(=O)NN2CCCCC2)nc(-c2ccccc2Cl)n1-c1ccc(Cl)cc1,train
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=C(O)[C@@H]1NCC[C@@H]1O,CC(C)(C)OC(=O)N1CC[C@H](O)[C@@H]1C(=O)O,train
CC(C)(C)OC(=O)[C@@H]1C[C@H](CO)CN1C(=O)OC(C)(C)C.CS(=O)(=O)Cl,CC(C)(C)OC(=O)[C@@H]1C[C@H](COS(C)(=O)=O)CN1C(=O)OC(C)(C)C,train
COC(=O)c1cc(NC(=O)c2ccccc2Cl)[nH]n1,O=C(O)c1cc(NC(=O)c2ccccc2Cl)[nH]n1,train
COC(=O)c1cc(C(=O)Nc2cc(C(F)(F)F)ccc2F)ccc1C,Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccc2F)cc1C(=O)O,train
CNCCCCS(=O)(=O)CCC(F)(F)C(F)(F)F.Oc1ccc2c(c1)CCCC(c1ccc(F)c(F)c1)=C2CCCCCCBr,CN(CCCCCCC1=C(c2ccc(F)c(F)c2)CCCc2cc(O)ccc21)CCCCS(=O)(=O)CCC(F)(F)C(F)(F)F,train
CC(C)(C)n1cc(O)cn1.CCNC(=O)F,CCNC(=O)Oc1cnn(C(C)(C)C)c1,train
CCOC(=O)CBr.CCc1c(O)cccc1-c1noc(-c2ccc(OC(C)C)c(C#N)c2)n1,CCOC(=O)COc1cccc(-c2noc(-c3ccc(OC(C)C)c(C#N)c3)n2)c1CC,train
C=C[Mg+].COCCCN1CCOc2ccc(CO[C@H]3CN(S(=O)(=O)c4ccc(C)cc4)[C@@H](CC(=O)N(C)OC)C[C@@H]3c3ccc(OC)cc3)cc21,C=CC(=O)C[C@H]1C[C@H](c2ccc(OC)cc2)[C@@H](OCc2ccc3c(c2)N(CCCOC)CCO3)CN1S(=O)(=O)c1ccc(C)cc1,train
CN(C)CCN.COC(=O)Cc1ccc(OCc2ccc(-c3ccccc3)cc2)cc1,CN(C)CCNC(=O)Cc1ccc(OCc2ccc(-c3ccccc3)cc2)cc1,train
NC(=O)[C@@H](N)CC1CC1.O=C(O)c1ccc(N2CC(F)(F)C2)c(OCC2CC2)n1,NC(=O)[C@H](CC1CC1)NC(=O)c1ccc(N2CC(F)(F)C2)c(OCC2CC2)n1,train
COc1cc(C)c2c(c1Br)c1cc(C)sc1c(=O)n2COCC[Si](C)(C)C.C[C@@H](CNC(=O)OC(C)(C)C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,COc1cc(C)c2c(c1-c1ccc([C@@H](C)CNC(=O)OC(C)(C)C)cc1)c1cc(C)sc1c(=O)n2COCC[Si](C)(C)C,train
Cc1cc(C=O)c2cccc(OCc3ccccc3)c2n1,Cc1cc(CO)c2cccc(OCc3ccccc3)c2n1,train
Cc1ccc(C#N)cn1.O=C(OO)c1cccc(Cl)c1,Cc1ccc(C#N)c[n+]1[O-],train
N[C@@H]1CCC[C@H](C(=O)O)C1,N[C@@H]1CCC[C@H](CO)C1,train
CC(C)(C)OC(=O)N1CCN(c2ccccc2OC2CCCNC2)CC1.O=C(Cl)c1ccccc1,CC(C)(C)OC(=O)N1CCN(c2ccccc2OC2CCCN(C(=O)c3ccccc3)C2)CC1,train
CCOC(=O)Cl.CC[C@H]1C[C@@H](NC(=O)O[C@@H](C)c2ccccc2)c2nc(OC)ccc2N1,CCOC(=O)N1c2ccc(OC)nc2[C@H](NC(=O)O[C@@H](C)c2ccccc2)C[C@@H]1CC,train
COC(=O)C(Cc1ccccc1)NC(=S)Nc1nc(C)cs1,Cc1csc(N2C(=O)C(Cc3ccccc3)NC2=S)n1,train
COCOc1cnc(OC)cc1C1(O)C(=O)N(C(c2ccccc2)c2ccccc2)c2ccccc21,COc1cc(C2(O)C(=O)N(C(c3ccccc3)c3ccccc3)c3ccccc32)c(O)cn1,train
N#Cc1ccc(CBr)s1.[N-]=[N+]=[N-],N#Cc1ccc(CN=[N+]=[N-])s1,train
CN(C)C1(c2cccs2)CCN(CCNC(=O)OC(C)(C)C)CC1,CN(C)C1(c2cccs2)CCN(CCN)CC1,train
COC(=O)C1(C)CCN(C(=O)OC(C)(C)C)CC1,COC(=O)C1(C)CCNCC1,train
CCOC(=O)c1cnc(N2CCOCC2)cc1Oc1ccccc1,O=C(O)c1cnc(N2CCOCC2)cc1Oc1ccccc1,train
CCOC(=O)CCc1ccc(OC)c(C)c1C(F)(F)F,CCOC(=O)CCc1ccc(O)c(C)c1C(F)(F)F,train
O=C(c1ccc(Cl)cc1)N1CC(O)C(N2CCNCC2)C1.O=Cc1ccc(Cl)cc1,O=C(c1ccc(Cl)cc1)N1CC(O)C(N2CCN(Cc3ccc(Cl)cc3)CC2)C1,train
COc1cc2ncnc(N3CCNCC3)c2cc1OC.O=C(Cl)N(c1ccccc1)c1ccccc1,COc1cc2ncnc(N3CCN(C(=O)N(c4ccccc4)c4ccccc4)CC3)c2cc1OC,train
O=C(OCc1ccccc1)[C@@H]1CC(=O)N1Cc1ccccc1,O=C(O)[C@@H]1CC(=O)N1Cc1ccccc1,train
CCOC(=O)CN.O=C(SCCC(=O)N1[C@@H](c2ccccc2O)SC[C@H]1C(=O)O)c1ccccc1,CCOC(=O)CNC(=O)[C@@H]1CS[C@H](c2ccccc2O)N1C(=O)CCSC(=O)c1ccccc1,train
CSc1ccc(CO)cc1.O=C1CCNCC1C(c1ccccc1)c1ccccc1,CSc1ccc(CN2CCC(=O)C(C(c3ccccc3)c3ccccc3)C2)cc1,train
CC(C)c1noc(N2CCC(COc3ccc(Br)cc3)CC2)n1.O=S(=O)(NCCO)c1ccc(B(O)O)cc1,CC(C)c1noc(N2CCC(COc3ccc(-c4ccc(S(=O)(=O)NCCO)cc4)cc3)CC2)n1,train
Nc1ccc(S(=O)(=O)c2cccc(OC(F)(F)F)c2)cc1.O=C(Cl)C=Cc1cccnc1,O=C(C=Cc1cccnc1)Nc1ccc(S(=O)(=O)c2cccc(OC(F)(F)F)c2)cc1,train
Brc1cnc(N[C@@H]2CCCNC2)nc1.Cc1nc(C(=O)O)c(-c2ccc(C)c(C)c2)s1,Cc1nc(C(=O)N2CCC[C@@H](Nc3ncc(Br)cn3)C2)c(-c2ccc(C)c(C)c2)s1,train
CCOC(=O)CC1CCC(c2ncc(-c3ccc(NC(=O)c4nc(-c5ccccc5)oc4C(F)(F)F)cc3)s2)CC1,CCOC(=O)CC1CCC(c2ncc(-c3ccc(NC(=O)c4nc(-c5ccccc5)oc4C)cc3)s2)CC1,train
CCC1=C(C(=O)OCc2ccccc2)C(c2ccc(F)cc2F)NC(OC)=N1.O=C(Cl)Oc1ccc([N+](=O)[O-])cc1,CCC1=C(C(=O)OCc2ccccc2)C(c2ccc(F)cc2F)N(C(=O)Oc2ccc([N+](=O)[O-])cc2)C(OC)=N1,train
COc1cc(OC)cc(C(=CC#N)c2ccc(O[Si](C)(C)C(C)(C)C)c(OC)c2)c1,COc1cc(OC)cc(C(=CC#N)c2ccc(O)c(OC)c2)c1,train
CC(C)(C)OC(=O)Cn1cnc(-c2ccc([N+](=O)[O-])cc2)c1,CC(C)(C)OC(=O)Cn1cnc(-c2ccc(N)cc2)c1,train
COc1cc(N2CCN(C(C)C)CC2)c(F)cc1[N+](=O)[O-],COc1cc(N2CCN(C(C)C)CC2)c(F)cc1N,train
CC1(C)OB(c2ccoc2)OC1(C)C.O=C(O)NCc1cccc(Br)c1,O=C(O)NCc1cccc(-c2ccoc2)c1,train
CON(C)C(=O)c1cn(-c2cccc(-c3cccnc3F)c2)cn1.Cc1ccnc(Br)c1,Cc1ccnc(C(=O)c2cn(-c3cccc(-c4cccnc4F)c3)cn2)c1,train
COc1ncc(Cl)nc1N.O=S(=O)(Cl)c1cccc(Cl)c1Cl,COc1ncc(Cl)nc1NS(=O)(=O)c1cccc(Cl)c1Cl,train
COc1ccc(-c2cc(N)on2)cc1.Cc1ccccc1C(=O)Cl,COc1ccc(-c2cc(NC(=O)c3ccccc3C)on2)cc1,train
COC(=O)CCCCCCN.O=C(O)C(=O)c1cn2c3c(cccc13)CCC2,COC(=O)CCCCCCNC(=O)C(=O)c1cn2c3c(cccc13)CCC2,train
COc1ccccc1B(O)O.O=Cc1ccc(Br)s1,COc1ccccc1-c1ccc(C=O)s1,train
